model,pckh,pckh_strict
rtm_coco_det-nano_pose-m,0.7645705521472392,0.8015138772077376
rtm_body8_det-m_pose-s,0.7016871165644172,0.7342304457527334
rtm_body8_26keypoints_det-m_pose-m_256x192,0.7584355828220859,0.7931034482758621
rtm_body8_26keypoints_det-m_pose-m_384x288,0.7638036809815951,0.798990748528175
rtm_coco_det-m_pose-l,0.7691717791411042,0.8015138772077376
rtm_body8_det-m_pose-m,0.745398773006135,0.7813288477712363
