,mean,std,min,max,P95,P98,P99
rtm_coco_det-nano_pose-m,1223.0192810457518,171.55922047942877,708.0,1494.8,1405.525,1452.29,1458.3700000000001
rtm_body8_det-m_pose-s,1245.1470588235295,243.4707337189092,668.5,2048.4,1720.1999999999998,1909.1099999999997,1955.6
rtm_body8_26keypoints_det-m_pose-m_256x192,1213.8519607843139,176.40499122056573,677.9,1480.7,1395.825,1443.9799999999998,1462.9499999999998
rtm_body8_26keypoints_det-m_pose-m_384x288,1170.8761437908497,170.04333661248276,692.0,1495.5,1394.35,1455.8799999999997,1475.325
rtm_coco_det-m_pose-l,1169.9745098039216,168.85523483339824,701.0,1459.4,1384.5,1395.59,1422.86
rtm_body8_det-m_pose-m,1243.3238562091503,168.59075692270372,714.7,1504.2,1397.475,1436.6799999999992,1462.8749999999998
