,mean,std,min,max,P95,P98,P99
rtm_coco_det-nano_pose-m,12.409529654808294,4.435801244882318,10.112762451171875,54.885149002075195,22.23515510559082,24.418950080871532,27.191770076751688
rtm_body8_det-m_pose-s,10.49708073435266,5.0781673037068575,4.802703857421875,44.638872146606445,22.2623348236084,23.375082015991204,24.560666084289544
rtm_body8_26keypoints_det-m_pose-m_256x192,12.599411353566289,3.9333191790215265,10.000467300415039,33.06269645690918,22.30381965637207,23.50049018859863,25.685977935790998
rtm_body8_26keypoints_det-m_pose-m_384x288,14.818637199651182,5.236077279393517,10.007143020629883,47.9273796081543,22.21471071243286,24.931693077087395,30.537557601928693
rtm_coco_det-m_pose-l,14.884284898346545,5.411886153721876,10.097980499267578,58.67958068847656,23.1361985206604,28.051567077636715,30.043601989746094
rtm_body8_det-m_pose-m,12.066608940074646,3.48602908764971,10.004520416259766,29.27231788635254,22.175073623657227,22.32685089111328,25.90717077255247
